rowNo,tconst,title,Month,revenue
0,tt2614684,'71,February,39894
1,tt2614684,'71,March,982052
2,tt2614684,'71,April,243927
3,tt2614684,'71,May,4974
4,tt7518786,'83,January,766207
5,tt7518786,'83,December,2391139
6,tt4417402,'85: The Greatest Team in Football History,January,124008
7,tt4417402,'85: The Greatest Team in Football History,February,565
8,tt1179933,10 Cloverfield Lane,March,58813060
9,tt1179933,10 Cloverfield Lane,April,12360036
10,tt1179933,10 Cloverfield Lane,May,889864
11,tt1179933,10 Cloverfield Lane,June,20038
12,tt1715873,10 Years,September,177763
13,tt1715873,10 Years,October,25610
14,tt0443649,"10,000 BC",March,85400862
15,tt0443649,"10,000 BC",April,8069935
16,tt0443649,"10,000 BC",May,1155267
17,tt0443649,"10,000 BC",June,158137
18,tt3114132,10.000 Km,July,12423
19,tt0211181,102 Dalmatians,January,1988268
20,tt0211181,102 Dalmatians,November,28312221
21,tt0211181,102 Dalmatians,December,25104643
22,tt6580564,102 Not Out,May,1328909
23,tt6580564,102 Not Out,June,14888
24,tt15783266,10x10,April,2263
25,tt6210996,10x10,April,2263
26,tt1160368,12 Rounds,March,6087220
27,tt3517850,12 Rounds,March,6087220
28,tt1160368,12 Rounds,April,5427514
29,tt3517850,12 Rounds,April,5427514
30,tt1160368,12 Rounds,May,578154
31,tt3517850,12 Rounds,May,578154
32,tt1413492,12 Strong,January,31971175
33,tt1413492,12 Strong,February,13022180
34,tt1413492,12 Strong,March,506809
35,tt2024544,12 Years a Slave,January,6888192
36,tt2024544,12 Years a Slave,February,4744224
37,tt2024544,12 Years a Slave,March,6806691
38,tt2024544,12 Years a Slave,April,244324
39,tt2024544,12 Years a Slave,October,4160324
40,tt2024544,12 Years a Slave,November,28506422
41,tt2024544,12 Years a Slave,December,5284625
42,tt1542344,127 Hours,January,3506001
43,tt1542344,127 Hours,February,4232522
44,tt1542344,127 Hours,March,351063
45,tt1542344,127 Hours,November,4710387
46,tt1542344,127 Hours,December,5492841
47,tt9077876,13 Fanboy,October,5796
48,tt0337563,13 Going on 30,April,28402767
49,tt0337563,13 Going on 30,May,26158250
50,tt0337563,13 Going on 30,June,1032472
51,tt4172430,13 Hours,January,42848089
52,tt4172430,13 Hours,February,9434937
53,tt4172430,13 Hours,March,570193
54,tt2059171,13 Sins,April,13809
55,tt1385824,13B: Fear Has a New Address,March,36340
56,tt1385824,13B: Fear Has a New Address,April,254
57,tt6976172,"14 Days, 12 Nights",March,122530
58,tt0450385,1408,June,37420666
59,tt0450385,1408,July,32786628
60,tt0450385,1408,August,1030430
61,tt0450385,1408,September,715770
62,tt0450385,1408,October,24463
63,tt10021622,16 Bars,November,10985
64,tt11131480,16 Bars,November,10985
65,tt0450232,16 Blocks,March,35043007
66,tt2940108,16 Blocks,March,35043007
67,tt0450232,16 Blocks,April,1454470
68,tt2940108,16 Blocks,April,1454470
69,tt0450232,16 Blocks,May,397664
70,tt2940108,16 Blocks,May,397664
71,tt0974661,17 Again,April,42142459
72,tt0974661,17 Again,May,19091431
73,tt0974661,17 Again,June,1960114
74,tt0974661,17 Again,July,938649
75,tt0974661,17 Again,August,34416
76,tt5698568,1898: Our Last Men in the Philippines,March,2848
77,tt8579674,1917,January,111056386
78,tt8579674,1917,February,42792405
79,tt8579674,1917,March,4052675
80,tt8579674,1917,December,1326178
81,tt15445390,1945,January,2380
82,tt16794270,1945,January,2380
83,tt5815492,1945,January,2380
84,tt8334302,1945,January,2380
85,tt13475392,1982,June,4302
86,tt2388621,1982,June,4302
87,tt7725384,1982,June,4302
88,tt13475392,1982,August,1954
89,tt2388621,1982,August,1954
90,tt7725384,1982,August,1954
91,tt13475392,1982,September,5144
92,tt2388621,1982,September,5144
93,tt7725384,1982,September,5144
94,tt13475392,1982,October,865
95,tt2388621,1982,October,865
96,tt7725384,1982,October,865
97,tt13475392,1982,November,804
98,tt2388621,1982,November,804
99,tt7725384,1982,November,804
100,tt8264546,1991,July,708332
101,tt9831908,1991,July,708332
102,tt8264546,1991,August,1409111
103,tt9831908,1991,August,1409111
104,tt8264546,1991,September,214071
105,tt9831908,1991,September,214071
106,tt8264546,1991,October,10078
107,tt9831908,1991,October,10078
108,tt8264546,1991,November,672
109,tt9831908,1991,November,672
110,tt0322259,2 Fast 2 Furious,June,114883410
111,tt0322259,2 Fast 2 Furious,July,10134800
112,tt0322259,2 Fast 2 Furious,August,1731250
113,tt0322259,2 Fast 2 Furious,September,344985
114,tt1272878,2 Guns,August,68311390
115,tt1272878,2 Guns,September,6717360
116,tt1272878,2 Guns,October,583710
117,tt5616176,2 Hearts,October,964803
118,tt5616176,2 Hearts,November,182379
119,tt5616176,2 Hearts,December,466
120,tt11912390,2 States,April,1824036
121,tt2372678,2 States,April,1824036
122,tt11912390,2 States,May,414138
123,tt2372678,2 States,May,414138
124,tt5080556,2.0,November,728000
125,tt5080556,2.0,December,2494000
126,tt18924506,2000 Mules,May,1304278
127,tt18924506,2000 Mules,June,154318
128,,2001: A Space Odyssey2018 Re-release,May,495850
129,,2001: A Space Odyssey2018 Re-release,June,603096
130,,2001: A Space Odyssey2018 Re-release,July,184874
131,tt1190080,2012,January,2868293
132,tt1190080,2012,February,392493
133,tt1190080,2012,November,139415313
134,tt1190080,2012,December,22933688
135,tt2247692,2016: Obama's America,August,14281365
136,tt2247692,2016: Obama's America,September,17752963
137,tt4385888,20th Century Women,January,3980242
138,tt4385888,20th Century Women,February,1340527
139,tt4385888,20th Century Women,March,166546
140,tt4385888,20th Century Women,April,38559
141,tt4385888,20th Century Women,May,909
142,tt4385888,20th Century Women,December,137981
143,tt0224451,21,March,26097301
144,tt0478087,21,March,26097301
145,tt0809996,21,March,26097301
146,tt5097012,21,March,26097301
147,tt0224451,21,April,50600206
148,tt0478087,21,April,50600206
149,tt0809996,21,April,50600206
150,tt5097012,21,April,50600206
151,tt0224451,21,May,4461858
152,tt0478087,21,May,4461858
153,tt0809996,21,May,4461858
154,tt5097012,21,May,4461858
155,tt1711425,21 & Over,March,24952089
156,tt1711425,21 & Over,April,659201
157,tt1711425,21 & Over,May,71090
158,tt8688634,21 Bridges,January,792488
159,tt8688634,21 Bridges,November,18051864
160,tt8688634,21 Bridges,December,9695405
161,tt0315733,21 Grams,January,5479573
162,tt14774434,21 Grams,January,5479573
163,tt0315733,21 Grams,November,1707720
164,tt14774434,21 Grams,November,1707720
165,tt0315733,21 Grams,December,3857100
166,tt14774434,21 Grams,December,3857100
167,tt1232829,21 Jump Street,March,88925169
168,tt1232829,21 Jump Street,April,43257653
169,tt1232829,21 Jump Street,May,4286447
170,tt1232829,21 Jump Street,June,837296
171,tt1232829,21 Jump Street,July,28087
172,tt2294449,22 Jump Street,June,142719235
173,tt2294449,22 Jump Street,July,44541847
174,tt2294449,22 Jump Street,August,3280597
175,tt2294449,22 Jump Street,September,307582
176,tt2294449,22 Jump Street,October,211180
177,tt2294449,22 Jump Street,November,233285
